2014-01-28 23:15:55,387 [pool-9-thread-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded file:/projects/MavenRepo/releases/org/hibernate/hibernate-core/3.6.0.Final/hibernate-core-3.6.0.Final.pom
2014-01-28 23:15:55,399 [Worker-1] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2014-01-28 23:15:55,636 [New I/O client worker #6-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/hibernate/hibernate-core/3.6.0.Final/hibernate-core-3.6.0.Final.pom
2014-01-28 23:15:55,647 [New I/O client worker #6-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/hibernate/hibernate-core/3.6.0.Final/hibernate-core-3.6.0.Final.pom
2014-01-28 23:15:55,922 [Worker-1] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2014-01-28 23:15:57,347 [New I/O client worker #7-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://cpci.carepass.com:8443/nexus/content/repositories/aetna/org/hibernate/javax/persistence/hibernate-jpa-2.0-api/1.0.0.Final/hibernate-jpa-2.0-api-1.0.0.Final.pom
2014-01-28 23:15:57,359 [pool-12-thread-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded file:/projects/MavenRepo/releases/org/hibernate/javax/persistence/hibernate-jpa-2.0-api/1.0.0.Final/hibernate-jpa-2.0-api-1.0.0.Final.pom
2014-01-28 23:15:57,371 [Worker-1] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2014-01-28 23:15:57,586 [New I/O client worker #8-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/hibernate/javax/persistence/hibernate-jpa-2.0-api/1.0.0.Final/hibernate-jpa-2.0-api-1.0.0.Final.pom
2014-01-28 23:15:57,597 [New I/O client worker #8-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/hibernate/javax/persistence/hibernate-jpa-2.0-api/1.0.0.Final/hibernate-jpa-2.0-api-1.0.0.Final.pom
2014-01-28 23:15:57,888 [Worker-1] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2014-01-28 23:15:59,122 [New I/O client worker #9-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://cpci.carepass.com:8443/nexus/content/repositories/aetna/org/hibernate/hibernate-validator/4.1.0.Final/hibernate-validator-4.1.0.Final.pom
2014-01-28 23:15:59,134 [pool-15-thread-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded file:/projects/MavenRepo/releases/org/hibernate/hibernate-validator/4.1.0.Final/hibernate-validator-4.1.0.Final.pom
2014-01-28 23:15:59,146 [Worker-1] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2014-01-28 23:15:59,366 [New I/O client worker #10-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/hibernate/hibernate-validator/4.1.0.Final/hibernate-validator-4.1.0.Final.pom
2014-01-28 23:15:59,378 [New I/O client worker #10-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/hibernate/hibernate-validator/4.1.0.Final/hibernate-validator-4.1.0.Final.pom
2014-01-28 23:15:59,506 [Worker-1] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2014-01-28 23:16:00,816 [New I/O client worker #11-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://cpci.carepass.com:8443/nexus/content/repositories/aetna/org/hibernate/hibernate-validator-parent/4.1.0.Final/hibernate-validator-parent-4.1.0.Final.pom
2014-01-28 23:16:00,836 [pool-18-thread-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded file:/projects/MavenRepo/releases/org/hibernate/hibernate-validator-parent/4.1.0.Final/hibernate-validator-parent-4.1.0.Final.pom
2014-01-28 23:16:00,853 [Worker-1] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2014-01-28 23:16:01,081 [New I/O client worker #12-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/hibernate/hibernate-validator-parent/4.1.0.Final/hibernate-validator-parent-4.1.0.Final.pom
2014-01-28 23:16:01,184 [New I/O client worker #12-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/hibernate/hibernate-validator-parent/4.1.0.Final/hibernate-validator-parent-4.1.0.Final.pom
2014-01-28 23:16:01,337 [Worker-1] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2014-01-28 23:16:02,602 [New I/O client worker #13-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://cpci.carepass.com:8443/nexus/content/repositories/aetna/org/slf4j/slf4j-api/1.5.6/slf4j-api-1.5.6.pom
2014-01-28 23:16:02,611 [pool-21-thread-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded file:/projects/MavenRepo/releases/org/slf4j/slf4j-api/1.5.6/slf4j-api-1.5.6.pom
2014-01-28 23:16:02,624 [Worker-1] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2014-01-28 23:16:03,010 [New I/O client worker #14-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/slf4j/slf4j-api/1.5.6/slf4j-api-1.5.6.pom
2014-01-28 23:16:03,021 [New I/O client worker #14-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/slf4j/slf4j-api/1.5.6/slf4j-api-1.5.6.pom
2014-01-28 23:16:03,253 [Worker-1] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2014-01-28 23:16:04,642 [New I/O client worker #15-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://cpci.carepass.com:8443/nexus/content/repositories/aetna/org/slf4j/slf4j-parent/1.5.6/slf4j-parent-1.5.6.pom
2014-01-28 23:16:04,654 [pool-24-thread-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded file:/projects/MavenRepo/releases/org/slf4j/slf4j-parent/1.5.6/slf4j-parent-1.5.6.pom
2014-01-28 23:16:04,668 [Worker-1] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2014-01-28 23:16:05,076 [New I/O client worker #16-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/slf4j/slf4j-parent/1.5.6/slf4j-parent-1.5.6.pom
2014-01-28 23:16:05,091 [New I/O client worker #16-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/slf4j/slf4j-parent/1.5.6/slf4j-parent-1.5.6.pom
2014-01-28 23:16:05,291 [Worker-1] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2014-01-28 23:16:06,920 [New I/O client worker #17-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://cpci.carepass.com:8443/nexus/content/repositories/aetna/org/springframework/spring-test/3.0.6.RELEASE/spring-test-3.0.6.RELEASE.pom
2014-01-28 23:16:06,929 [pool-27-thread-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded file:/projects/MavenRepo/releases/org/springframework/spring-test/3.0.6.RELEASE/spring-test-3.0.6.RELEASE.pom
2014-01-28 23:16:06,942 [Worker-1] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2014-01-28 23:16:07,222 [New I/O client worker #18-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/org/springframework/spring-test/3.0.6.RELEASE/spring-test-3.0.6.RELEASE.pom
2014-01-28 23:16:07,235 [New I/O client worker #18-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/springframework/spring-test/3.0.6.RELEASE/spring-test-3.0.6.RELEASE.pom
2014-01-28 23:16:07,435 [Worker-1] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
